City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Sur,OM,22.5667,59.5289,81.09,79,51,18.1,broken clouds
147,Northam,GB,51.0333,-4.2167,59.61,71,0,9.84,clear sky
148,Half Moon Bay,US,37.4636,-122.4286,86.54,66,100,12.66,overcast clouds
149,Katastarion,GR,37.8333,20.7667,82.18,74,0,2.3,clear sky
150,Kodiak,US,57.79,-152.4072,54.91,62,0,0.0,clear sky
151,Rudnogorsk,RU,57.2639,103.7519,49.78,98,42,5.14,scattered clouds
152,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,62.28,90,76,6.58,broken clouds
153,Te Anau,NZ,-45.4167,167.7167,42.04,98,100,2.86,overcast clouds
154,Werda,BW,-25.2667,23.2833,63.91,35,8,14.38,clear sky
155,Pisco,PE,-13.7,-76.2167,64.45,77,85,8.05,mist
156,Hesperia,US,34.4264,-117.3009,95.83,18,1,14.0,clear sky
157,East London,ZA,-33.0153,27.9116,63.7,51,18,7.63,few clouds
158,Kavieng,PG,-2.5744,150.7967,82.45,71,96,12.59,overcast clouds
159,Lavrentiya,RU,65.5833,-171.0,39.24,88,100,13.82,overcast clouds
160,Bemidji,US,47.4736,-94.8803,72.05,78,100,6.91,overcast clouds
161,Fiche,ET,9.8,38.7333,51.04,88,100,2.44,light rain
162,Bhind,IN,26.5642,78.7883,85.39,68,35,7.02,scattered clouds
163,Kondinskoye,RU,59.6481,67.41,54.79,67,61,7.16,broken clouds
164,Saint-Philippe,RE,-21.3585,55.7679,65.79,84,20,9.66,light rain
165,San Quintin,MX,30.4833,-115.95,74.03,64,14,12.55,few clouds
166,Evanston,US,42.0411,-87.6901,82.72,56,75,8.05,broken clouds
167,Hericourt,FR,47.5731,6.7614,68.38,70,50,3.13,scattered clouds
168,Putina,PE,-15.4667,-69.4333,51.96,53,82,14.43,broken clouds
169,Katherine,AU,-14.4667,132.2667,61.12,63,8,9.22,clear sky
170,Beidao,CN,34.5686,105.8933,67.78,90,97,3.89,moderate rain
171,Lompoc,US,34.6391,-120.4579,90.01,66,0,12.66,clear sky
172,Airai,TL,-8.9266,125.4092,53.08,70,85,4.12,overcast clouds
173,Pacific Grove,US,36.6177,-121.9166,74.21,78,0,13.8,clear sky
174,Huangmei,CN,30.1924,116.025,78.4,95,10,3.71,clear sky
175,Serov,RU,59.6033,60.5787,50.88,88,27,4.74,scattered clouds
176,Namibe,AO,-15.1961,12.1522,63.9,79,81,2.93,broken clouds
177,Tukrah,LY,32.5341,20.5791,79.45,78,0,3.56,clear sky
178,Port Hedland,AU,-20.3167,118.5667,59.05,51,13,8.05,few clouds
179,Conde,BR,-7.2597,-34.9075,76.46,78,75,11.5,broken clouds
180,Dhidhdhoo,MV,6.8833,73.1,81.07,78,36,14.94,scattered clouds
181,Meulaboh,ID,4.1363,96.1285,74.03,93,100,5.95,overcast clouds
182,Bethel,US,41.3712,-73.414,83.35,48,0,11.5,clear sky
183,Roswell,US,34.0232,-84.3616,93.04,61,20,8.05,few clouds
184,Atbasar,KZ,51.8,68.3333,70.63,42,99,11.9,overcast clouds
185,Nizwa,OM,22.9333,57.5333,79.57,78,100,4.76,overcast clouds
186,Torres,BR,-29.3353,-49.7269,71.83,94,9,7.45,clear sky
187,Garowe,SO,8.4054,48.4845,79.74,43,90,24.96,overcast clouds
188,Ancud,CL,-41.8697,-73.8203,52.23,91,90,9.33,moderate rain
189,Marawi,PH,7.9986,124.2928,68.68,92,100,2.82,overcast clouds
190,Boden,SE,65.8252,21.6886,60.8,99,96,6.73,overcast clouds
191,Ostrovnoy,RU,68.0531,39.5131,59.68,74,100,17.38,overcast clouds
192,Praya,CV,14.9215,-23.5087,81.14,74,75,4.61,broken clouds
193,Souillac,MU,-20.5167,57.5167,68.38,88,40,6.91,scattered clouds
194,Andenes,NO,69.3143,16.1194,51.93,100,75,13.8,light intensity drizzle
195,Oriximina,BR,-1.7656,-55.8661,86.2,57,85,2.8,overcast clouds
196,Castro,BR,-24.7911,-50.0119,61.75,69,0,3.67,clear sky
197,Bejar,ES,40.3864,-5.7634,69.84,39,0,4.72,clear sky
198,Nome,US,64.5011,-165.4064,45.16,76,100,24.16,overcast clouds
199,Chuy,UY,-33.6971,-53.4616,59.63,96,92,6.06,overcast clouds
200,Fort Frances,CA,48.5999,-93.4003,67.05,58,100,8.05,overcast clouds
201,Puerto Colombia,CO,10.9878,-74.9547,89.69,78,100,9.08,overcast clouds
202,Ruidoso,US,33.3317,-105.673,80.96,78,94,11.5,overcast clouds
203,Westport,US,41.1415,-73.3579,84.61,57,0,13.8,clear sky
204,Caravelas,BR,-17.7125,-39.2481,70.83,80,3,6.11,clear sky
205,Mount Gambier,AU,-37.8333,140.7667,49.91,100,75,11.5,broken clouds
206,Dawlatabad,AF,36.4141,64.9053,87.67,21,0,4.59,clear sky
207,Ormara,PK,25.2088,64.6357,82.9,81,100,3.94,overcast clouds
208,Haines Junction,CA,60.7522,-137.5108,67.95,45,63,17.27,broken clouds
