City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Liuzhou,CN,78.55,clear sky,24.3126,109.3892,Linjiang Inn
284,Mailani,IN,80.22,broken clouds,28.2833,80.35,Nani House
285,Madridejos,ES,83.25,clear sky,39.4682,-3.532,CASA RURAL LA ALAMEDA
287,Arrecife,ES,78.78,clear sky,28.963,-13.5477,Hotel Lancelot
289,Cockburn Town,TC,82.65,clear sky,21.4612,-71.1419,Osprey Beach Hotel
292,Kishni,IN,86.09,broken clouds,27.0247,79.2634,श्री आंनद ग्रुप
293,Kununurra,AU,73.38,few clouds,-15.7667,128.7333,Hotel Kununurra
294,Buala,SB,80.37,light rain,-8.145,159.5921,Maringe Lagoon Lodge
295,Piacabucu,BR,74.37,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
296,Asau,RO,73.96,clear sky,46.4333,26.4,Casa Mika Ciobanus
297,Mahbubabad,IN,75.07,overcast clouds,17.6167,80.0167,District Collector Residence
299,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
306,Kalmunai,LK,79.88,overcast clouds,7.4167,81.8167,VS Villa
308,Fortuna,US,70.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
310,Soure,BR,80.91,moderate rain,-0.7167,-48.5233,Casarão da Amazônia
315,Pachino,IT,80.92,clear sky,36.7186,15.0907,Il Veliero
316,Neyshabur,IR,81.07,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
317,Otesani,RO,72.93,clear sky,45.0667,24.0333,Conacul Frumuselu
318,Tucuman,AR,80.6,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
319,Broome,US,80.6,few clouds,42.2506,-75.833,Chenango Valley State Park
321,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
322,Muroto,JP,80.44,few clouds,33.2833,134.15,Oota Ryokan
323,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
325,Ponta Delgada,PT,78.49,light rain,37.7333,-25.6667,Vila Nova Hotel
333,Lagoa,PT,73.76,scattered clouds,39.05,-27.9833,Casa Das Faias
334,Luquillo,PR,86.58,clear sky,18.3725,-65.7166,Yunque Mar Beach Hotel
335,Rapid Valley,US,77.63,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
336,Colares,PT,73.08,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
345,Meadow Lake,US,89.78,few clouds,34.8014,-106.5436,TumbleWeed RV Park
346,Southbridge,US,80.22,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
347,Harper,LR,75.25,overcast clouds,4.375,-7.7169,Screensaver
348,Maceio,BR,74.64,mist,-9.6658,-35.7353,Hotel Ponta Verde Maceió
349,Tazmalt,DZ,85.48,broken clouds,36.3868,4.3989,Hôtel Numédia
350,Santa Cruz,BO,87.85,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
352,Padang,ID,75.9,overcast clouds,-0.9492,100.3543,Mercure Padang
353,Ewa Beach,US,82.35,overcast clouds,21.3156,-158.0072,Base Lodging
357,Kitimat,CA,86.92,scattered clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
360,Shingu,JP,77.88,overcast clouds,33.7333,135.9833,Shingu UI Hotel
363,Porec,HR,79.45,scattered clouds,45.2258,13.5939,BO hotel Palazzo
367,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
368,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
369,Bambanglipuro,ID,70.93,scattered clouds,-7.95,110.2833,Puri Brata
